Unnamed: 0,origin,destination,train_type,price,train_class,fare
10938,MADRID,BARCELONA,AVE,100.4,Turista,Promo
10941,MADRID,BARCELONA,AVE,85.1,Turista,Promo
10942,MADRID,BARCELONA,AVE,88.95,Turista,Promo
10943,MADRID,BARCELONA,AVE,85.1,Turista,Promo
10944,MADRID,BARCELONA,AVE,75.4,Turista,Promo
11839,PONFERRADA,MADRID,ALVIA,27.9,Turista,Promo
12179,MADRID,VALENCIA,AVE,21.95,Turista,Promo
12180,MADRID,VALENCIA,AVE,39.45,Turista,Promo
12181,MADRID,VALENCIA,AVE,21.95,Turista,Promo
12183,MADRID,VALENCIA,AVE,33.65,Turista,Promo
12185,MADRID,VALENCIA,AVE,45.3,Turista,Promo
12186,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
12187,MADRID,VALENCIA,AVE,45.3,Turista,Promo
12189,MADRID,VALENCIA,AVE-LD,56.1,Turista con enlace,Flexible
12193,MADRID,VALENCIA,AVE,51.15,Turista,Promo
12194,MADRID,VALENCIA,AVE,39.45,Turista,Promo
12195,MADRID,VALENCIA,AVE,33.65,Turista,Promo
12197,MADRID,VALENCIA,AVE,45.3,Turista,Promo
12199,MADRID,VALENCIA,AVE,33.65,Turista,Promo
12201,MADRID,VALENCIA,AVE,27.8,Turista,Promo
12202,MADRID,VALENCIA,AVE,39.45,Turista,Promo
12203,MADRID,VALENCIA,AVE-MD,71,Turista con enlace,Flexible
12204,MADRID,VALENCIA,AVE,33.65,Turista,Promo
12206,MADRID,VALENCIA,AVE,39.45,Turista,Promo
12207,MADRID,VALENCIA,AVE,45.3,Turista,Promo
12208,MADRID,VALENCIA,AVE,33.65,Turista,Promo
12879,MADRID,PONFERRADA,AVE-MD,35.75,Turista con enlace,Promo
12880,MADRID,PONFERRADA,AVE-LD,31.2,Turista con enlace,Promo
12881,MADRID,PONFERRADA,ALVIA,33.5,Turista,Promo
13165,MADRID,SEVILLA,AV City,49.15,Turista,Promo
13168,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
13182,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
13183,MADRID,SEVILLA,AVE,64.05,Turista Plus,Promo
13184,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
13185,MADRID,SEVILLA,AV City,58.95,Turista Plus,Promo
13186,MADRID,SEVILLA,AVE,47.3,Turista,Promo
13188,MADRID,SEVILLA,AVE,53.4,Turista,Promo
13190,MADRID,SEVILLA,AVE,53.4,Turista,Promo
13192,MADRID,SEVILLA,ALVIA,,Turista,Flexible
13193,MADRID,SEVILLA,AVE,76.3,Turista,Flexible
13197,MADRID,SEVILLA,AVE,47.3,Turista,Promo
13198,MADRID,SEVILLA,AVE,47.3,Turista,Promo
13199,MADRID,SEVILLA,AVE,47.3,Turista,Promo
13200,MADRID,SEVILLA,AVE,47.3,Turista,Promo
13201,MADRID,SEVILLA,AV City,52.2,Turista Plus,Promo
13908,MADRID,PONFERRADA,AVE-MD,35.75,Turista con enlace,Promo
13909,MADRID,PONFERRADA,AVE-LD,31.2,Turista con enlace,Promo
13910,MADRID,PONFERRADA,ALVIA,33.5,Turista,Promo
13914,MADRID,BARCELONA,AVE,88.95,Turista,Promo
14190,MADRID,BARCELONA,AVE,66.75,Turista,Promo
14191,MADRID,BARCELONA,AVE,66.75,Turista,Promo
14192,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14193,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14194,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14195,MADRID,BARCELONA,AVE,107.7,Turista,Flexible
14196,MADRID,BARCELONA,AVE,102.15,Turista Plus,Promo
14198,MADRID,BARCELONA,AVE,88.95,Turista,Promo
14199,MADRID,BARCELONA,AVE,90.5,Turista Plus,Promo
14200,MADRID,BARCELONA,AVE,90.5,Turista Plus,Promo
14201,MADRID,BARCELONA,AVE,88.95,Turista,Promo
14203,MADRID,BARCELONA,AVE,88.95,Turista,Promo
14205,MADRID,BARCELONA,AVE,100.4,Turista,Promo
14208,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14209,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14210,MADRID,BARCELONA,AVE,75.4,Turista,Promo
14211,MADRID,BARCELONA,AVE,58.15,Turista,Promo
14212,MADRID,BARCELONA,AVE,75.4,Turista,Promo
14213,MADRID,BARCELONA,AVE,85.1,Turista,Promo
14214,MADRID,BARCELONA,AVE,75.4,Turista,Promo
14215,MADRID,BARCELONA,AVE,75.4,Turista,Promo
14216,MADRID,BARCELONA,AVE,75.4,Turista,Promo
14217,MADRID,BARCELONA,AVE,80.15,Turista Plus,Promo
14219,MADRID,BARCELONA,AVE,80.15,Turista Plus,Promo
14220,MADRID,BARCELONA,AVE,80.15,Turista Plus,Promo
14222,MADRID,BARCELONA,AVE,69.8,Turista Plus,Promo
14223,MADRID,BARCELONA,AVE,58.15,Turista,Promo
14224,MADRID,BARCELONA,AVE,66.75,Turista,Promo
14684,BARCELONA,MADRID,AVE,66.75,Turista,Promo
14685,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14686,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14688,BARCELONA,MADRID,AVE,85.1,Turista,Promo
14689,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
14690,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
14692,BARCELONA,MADRID,AVE,102.15,Turista Plus,Promo
14693,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
14694,BARCELONA,MADRID,AVE,90.5,Turista Plus,Promo
14696,BARCELONA,MADRID,AVE,100.4,Turista,Promo
14697,BARCELONA,MADRID,AVE,107.7,Turista,Flexible
14698,BARCELONA,MADRID,AVE,100.4,Turista,Promo
